revenue_by_client,,,,,,,Daily Trading Volume,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ARPU (Average Revenue Per User),,,,,,,Top Clients,,,,,
3881.43,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Portfolio Breakdown,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,Top Clients by Revenue (Top 5),,,,,
,,,,,,,Client ID,Total Revenue By USD,,,,
,,,,,,,C002,5880,,,,
,,,,,,,C005,5470,,,,
,,,,,,,C004,4345,,,,
,,,,,,,C001,4012.5,,,,
,,,,,,,C006,3100,,,,
